"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","true","false","false","1","English","0.19","319231"
"1","false","","true","false","false","3","German","0.47","372128"
"1","false","","false","false","false","1","English","0.1","258476"
"1","false","","false","false","false","1","English","0.04","400454"
"1","false","","false","false","false","1","English","0.05","360239"
"1","false","","true","false","false","1","English","0.29","17906"
"1","false","","false","false","false","3","German","0.49","15003"
"1","false","","false","false","false","3","German","2.49","273140"
"1","false","","false","false","false","3","German","0.05","379389"
"1","false","","false","false","false","1","English","0.07","432219"
"1","false","","false","false","false","1","English","0.11","429246"
"1","false","","false","false","false","1","English","0.05","2321"
"1","false","","false","false","false","1","English","0.1","11762"
"1","false","","false","false","false","1","English","0.1","20681"
"1","false","","false","false","false","1","English","0.05","379590"
"1","false","","false","false","false","3","German","0.45","17976"
"1","false","","false","false","false","1","English","0.15","296709"
"1","false","","false","false","false","1","English","0.04","10771"
"1","false","","false","false","false","1","English","0.03","364203"
"1","false","","false","false","false","1","English","0.28","12231"
"1","false","","false","false","false","3","German","0.1","13021"
"1","false","","true","false","false","3","German","2.49","501170"
"1","false","","true","false","false","7","Japanese","0.49","283032"
"1","false","","false","false","false","1","English","0.05","259989"
"1","false","","false","false","false","1","English","0.59","301195"
"1","false","","false","false","false","1","English","0.1","1852"
"1","false","","false","false","false","1","English","0.39","372184"
"1","false","","true","false","false","1","English","3.49","262116"
"1","false","","false","false","false","3","German","0.1","11561"
"1","false","","false","false","false","1","English","0.05","19221"
"1","false","","false","false","false","1","English","0.18","498775"
"1","false","","false","false","false","1","English","0.1","282782"
"1","false","","false","false","false","1","English","0.14","422256"
"1","false","","true","false","false","3","German","0.19","379587"
"1","false","","false","false","false","1","English","0.24","466019"
"1","false","","true","false","false","1","English","3.98","514360"
"1","false","","true","false","false","3","German","0.08","364200"
"1","false","","true","false","false","1","English","0.34","471119"
